,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,max_watts
20,2,Avondloop,9427.9,3341,3911,11.6,Run,0.0,2067306248,garmin_push_3286385058,2208575647.0,2019-01-09T18:06:33Z,2019-01-09T19:06:33Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.198338, 6.539058]","[53.19438, 6.537094]",,,The Netherlands,53.198338,6.537094,9,6,1,6,0,False,False,False,False,followers_only,False,g3971767,False,2208575647,2.822,8.6,,,,True,150.6,178.0,False,True,4.6,-1.9,3,0,False,64.0,4591892,1,a2067306248,qhucIad|f@gB{AqCrFsDY}CiJi@aOvGaFxDjBjIr[gBgDcDn@oBjGrAbHr\{AfDtg@gCke@hChe@gEwg@,2,77.7,
21,2,Avondloop,4648.2,1400,1400,22.2,Run,0.0,2062486140,garmin_push_3280577885,2203611493.0,2019-01-07T17:35:47Z,2019-01-07T18:35:47Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.19815, 6.539535]","[53.198947, 6.539354]",,,The Netherlands,53.19815,6.539354,1,6,1,1,0,False,False,False,False,followers_only,False,,False,2203611493,3.32,5.2,,,,True,156.9,176.0,False,True,4.6,-1.2,0,0,False,31.0,4591892,1,a2062486140,mgucIag|f@qCEk@sMgEuKaGlFdCjWzGz@pAoLmDeQgDLcD`D`BfSvB~EpCAbBoBf@gH}D}SsFwBmA|DL`JbBpN~AzChEBhBoFgBgS{EcIsMs@`Lnc@`F~AdCeE,2,83.7,
22,2,Middagloop,6443.9,1863,1863,12.4,Run,0.0,2055292726,garmin_push_3271889024,2196056482.0,2019-01-04T16:41:40Z,2019-01-04T17:41:40Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218964, 6.575202]","[53.221154, 6.574694]",Groningen,GR,The Netherlands,53.218964,6.574694,4,5,0,1,0,False,False,False,False,followers_only,False,,False,2196056482,3.459,4.8,,,,True,165.6,178.0,False,True,4.5,-2.1,2,0,False,66.0,4591892,1,a2055292726,a`ycIsvcg@~ByC_]m_BaG~EcBeFuJdIgFoL_IfK{CpAmAsBgPf[}J~FmFlHwHxXj@vOpPxMn`@fgAdG}GnE|Cp\}x@,2,85.3,
23,2,Middagloop,10720.6,7506,7523,23.7,Hike,,2051006488,garmin_push_3266683662,2191541593.0,2019-01-02T16:17:51Z,2019-01-02T17:17:51Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218877, 6.575239]","[53.221024, 6.574782]",Groningen,GR,The Netherlands,53.218877,6.574782,0,4,0,1,0,False,False,False,False,followers_only,False,g4378321,False,2191541593,1.428,3.3,,,,True,105.7,154.0,False,True,5.1,-6.1,0,0,False,20.0,4591892,1,a2051006488,_kycIcrcg@S}BpCeAiJeZw@qEn@kGaCqCaLyg@eGkEkD`C}DaKr@sLgRyxAyJlDqCuAyQhTsAcC}FfCaCgB}d@nv@sYxRdDta@jOaDnThu@pi@lb@`Mv_@nMoOk@oHtPcYvP{QjGoFvI|AtJ~Wd@dGqCRE~FsIpJ,2,49.8,
24,2,Middagloop,10350.6,3253,3253,24.0,Run,0.0,2046110440,garmin_push_3260583322,2186329807.0,2018-12-31T10:22:19Z,2018-12-31T11:22:19Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218709, 6.575228]","[53.220223, 6.57196]",Groningen,GR,The Netherlands,53.218709,6.57196,1,10,0,1,0,False,False,False,False,followers_only,False,,False,2186329807,3.182,5.0,,,,True,168.9,188.0,False,True,4.4,-6.1,0,0,False,131.0,4591892,1,a2046110440,k`ycIuvcg@nBeE{[q}AmGxEmBkFqJnIeEoKj@cM_RqxAaKpDyBsAoRzSiAqBkGtCoCgBqd@nv@qYjRrDpa@nOyC~Snt@pi@rb@da@dhArGeHdExCxM{ZzGxFnB}JlGiG,2,80.7,
25,2,Afternoon Activity,8745.0,3335,3335,10.7,Rowing,,2044677644,garmin_push_3258786410,2184798272.0,2018-12-30T14:17:41Z,2018-12-30T15:17:41Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.20168, 6.563675]","[53.201777, 6.563568]",,,The Netherlands,53.20168,6.563568,0,2,1,2,0,False,False,False,False,followers_only,False,,False,2184798272,2.622,4.5,,,,True,141.3,175.0,False,True,2.4,-3.4,0,0,False,42.0,4591892,1,a2044677644,o}ucI}}`g@ha@tJnH[fj@qY`McOdQue@`NkTnr@uz@vUuG_OhBsJhHky@deA}Trj@eNnRmh@zVkPSsQ}HsGv@,2,60.1,
26,2,Middagloop,6014.6,1736,1736,8.7,Run,0.0,2035910742,garmin_push_3247879562,2175540086.0,2018-12-26T10:00:19Z,2018-12-26T11:00:19Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.219058, 6.57503]","[53.223627, 6.56975]",Groningen,GR,The Netherlands,53.219058,6.56975,3,5,0,1,0,False,False,False,False,followers_only,False,,False,2175540086,3.465,6.5,,,,True,149.1,160.0,False,True,3.0,-2.1,3,0,False,30.0,4591892,1,a2035910742,k`ycIuvcg@rB{Do\a~AsF~EoBiFsJjIqFiLmHrJsGFwMpYaQfMoJ`YBzRjPrNl\f~@dChGnGcHxDtDzMmZ,2,82.6,
27,2,Lunch Hike,17003.5,11983,12397,43.6,Hike,,2033360461,garmin_push_3244549021,2172831814.0,2018-12-24T11:10:39Z,2018-12-24T12:10:39Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.217607, 6.574197]","[53.218503, 6.575398]",Groningen,GR,The Netherlands,53.217607,6.575398,0,1,0,1,0,False,False,False,False,followers_only,False,g4378321,False,2172831814,1.419,8.3,,,,True,109.8,162.0,False,True,9.0,-3.2,0,0,False,35.0,4591892,1,a2033360461,yxxcIq}bg@xHmMV}FxDyDxMsAjMeMzGlItRsa@~@J`LeZdDsDnUgPf_@mPx@UnApD~HsD`a@_b@xm@qYpT}TpDlDc@|F`DnLjI{HfA|@_@pLbVp}@a@dEdB`EM|F}FlCGlDiVvFaDrIBnKkChGm@nJ{KPIlNuHCsAnJeFB{BlFqOcCoEhInA|GOpJeIfWaEvFoHNqF|GaJ]yXnOyV\qS{HiIlCNwDN|GO{FSrA|@sJw@nI`AhAeNkBcAuCiDfCoCkV}M{@cHyD_Iv@_BkJ{D\cKg^kDqC[tA,2,52.3,
28,2,Middagloop,2840.6,720,743,0.0,Run,,2016877874,garmin_push_3224516135,2155502914.0,2018-12-14T12:33:38Z,2018-12-14T13:33:38Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[51.434235, 4.352532]","[51.435014, 4.352505]",,,The Netherlands,51.434235,4.352505,2,0,0,1,0,False,False,False,True,only_me,False,,False,2155502914,3.945,4.9,,,,True,155.1,175.0,False,True,18.6,17.1,0,0,False,15.0,4591892,1,a2016877874,}v|xHibqY{@iEgBbAz@fIrADZaC_AeGkBf@r@lItA^b@yBgAoGgBh@r@bI|AZ\iCiAkGiB|@z@|HrAXf@oCmAiGkBdA|@xHtAVd@mCmAgGmB~@nBfJfAwBs@mGoBMArD,2,83.2,
29,2,Middagloop,6439.8,1974,1985,12.8,Run,,2010352859,garmin_push_3216610593,2148683479.0,2018-12-10T16:58:20Z,2018-12-10T17:58:20Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.219098, 6.575941]","[53.220974, 6.574671]",Groningen,GR,The Netherlands,53.219098,6.574671,1,0,0,1,0,False,False,False,True,only_me,False,,False,2148683479,3.262,5.7,,,,True,156.7,171.0,False,True,4.8,-2.1,0,0,False,49.0,4591892,1,a2010352859,q`ycIyvcg@|BeCo\i_B_GlEkBaFcVbTqDoKoCvAqAoBqOhZoNvJcNb\~@zRrP|Nj`@~eAxGgHzDdDt]qx@,2,79.6,
