Following Athlete ID,Follow Status,Created At
18572688,Accepted,"Sep 25, 2019, 7:37:10 PM"
23398947,Accepted,"Sep 29, 2019, 10:09:42 AM"
29159582,Accepted,"Nov 15, 2019, 6:44:47 PM"
14521799,Accepted,"Nov 23, 2019, 5:53:13 PM"
48479319,Accepted,"Jan 14, 2020, 8:52:09 PM"
10442379,Accepted,"Jan 14, 2020, 8:52:37 PM"
50250201,Accepted,"Jan 21, 2020, 7:39:58 PM"
5210544,Accepted,"Jan 23, 2020, 9:12:42 AM"
41910786,Accepted,"Jan 27, 2020, 6:19:22 AM"
30236945,Accepted,"Jan 29, 2020, 9:14:35 PM"
26520855,Accepted,"Feb 12, 2020, 9:28:34 PM"
5840663,Accepted,"Feb 19, 2020, 2:42:30 PM"
27652805,Accepted,"Feb 25, 2020, 9:36:30 PM"
10944225,Accepted,"Feb 25, 2020, 9:36:32 PM"
32137831,Accepted,"Feb 25, 2020, 9:36:50 PM"
46900307,Accepted,"Mar 8, 2020, 6:08:25 AM"
899421,Accepted,"Mar 8, 2020, 7:40:08 PM"
26423081,Accepted,"Mar 9, 2020, 3:52:23 PM"
3222293,Accepted,"Mar 9, 2020, 3:52:52 PM"
33456677,Accepted,"Mar 9, 2020, 3:52:54 PM"
3768290,Accepted,"Mar 9, 2020, 3:53:02 PM"
16737542,Accepted,"Mar 9, 2020, 3:53:03 PM"
4487430,Accepted,"Mar 12, 2020, 6:09:45 PM"
13601029,Accepted,"Mar 17, 2020, 4:16:50 PM"
90939,Accepted,"Mar 22, 2020, 7:09:39 AM"
30600626,Accepted,"Mar 24, 2020, 1:01:00 PM"
31192017,Accepted,"Apr 11, 2020, 9:42:06 PM"
26546631,Accepted,"Apr 13, 2020, 2:35:17 PM"
16610566,Accepted,"Apr 13, 2020, 2:41:12 PM"
15960254,Accepted,"Apr 13, 2020, 2:41:14 PM"
8217021,Accepted,"Apr 13, 2020, 2:41:17 PM"
52112554,Accepted,"Apr 18, 2020, 11:48:56 AM"
7253537,Accepted,"Apr 25, 2020, 6:08:28 PM"
9637210,Accepted,"Apr 29, 2020, 6:11:25 PM"
53263811,Accepted,"May 5, 2020, 6:19:13 AM"
37804869,Accepted,"May 5, 2020, 7:39:33 PM"
25732753,Accepted,"May 5, 2020, 7:39:40 PM"
24648931,Accepted,"May 5, 2020, 7:39:50 PM"
39881556,Accepted,"May 5, 2020, 7:39:54 PM"
18837271,Accepted,"May 5, 2020, 7:39:55 PM"
54627691,Accepted,"May 5, 2020, 7:40:02 PM"
21356297,Pending,"May 5, 2020, 7:40:11 PM"
52869200,Accepted,"May 14, 2020, 6:38:10 PM"
52765683,Accepted,"May 15, 2020, 12:05:01 PM"
1720027,Accepted,"May 15, 2020, 12:05:03 PM"
46456398,Accepted,"May 16, 2020, 6:43:51 PM"
58258694,Accepted,"May 23, 2020, 1:12:35 PM"
57459731,Accepted,"May 23, 2020, 6:58:46 PM"
56283923,Accepted,"May 26, 2020, 10:40:20 AM"
43566735,Accepted,"May 30, 2020, 8:47:45 AM"
16438274,Accepted,"May 30, 2020, 8:47:49 AM"
23420680,Accepted,"Jun 3, 2020, 8:51:57 AM"
55201507,Accepted,"Jun 9, 2020, 7:32:32 AM"
60944952,Accepted,"Jun 10, 2020, 12:41:59 PM"
46782139,Accepted,"Jun 18, 2020, 11:29:13 AM"
53566739,Accepted,"Jun 18, 2020, 11:29:16 AM"
1034450,Accepted,"Jun 19, 2020, 7:24:10 PM"
45773817,Accepted,"Jun 24, 2020, 9:06:30 AM"
43902888,Accepted,"Jul 7, 2020, 5:50:07 AM"
56629749,Accepted,"Jul 7, 2020, 3:41:27 PM"
61727667,Accepted,"Jul 9, 2020, 3:14:05 PM"
3893703,Accepted,"Jul 9, 2020, 5:15:22 PM"
32300660,Accepted,"Jul 12, 2020, 7:18:48 PM"
26215670,Accepted,"Jul 26, 2020, 9:54:40 AM"
64105381,Accepted,"Jul 27, 2020, 9:07:54 AM"
64839710,Accepted,"Aug 3, 2020, 11:00:38 AM"
52459142,Accepted,"Aug 3, 2020, 11:02:29 AM"
9978642,Accepted,"Aug 3, 2020, 11:02:30 AM"
16685196,Accepted,"Aug 3, 2020, 11:02:31 AM"
11481958,Accepted,"Aug 3, 2020, 11:02:33 AM"
24996718,Accepted,"Aug 3, 2020, 11:02:38 AM"
14342234,Accepted,"Aug 3, 2020, 11:02:42 AM"
44227136,Accepted,"Aug 7, 2020, 12:10:59 PM"
53612311,Accepted,"Aug 7, 2020, 8:52:46 PM"
10283358,Pending,"Aug 7, 2020, 8:52:49 PM"
57556996,Accepted,"Aug 11, 2020, 5:50:53 AM"
16631314,Accepted,"Aug 11, 2020, 5:50:56 AM"
37367092,Accepted,"Aug 15, 2020, 6:06:52 AM"
28297725,Accepted,"Aug 21, 2020, 9:08:46 AM"
8803969,Pending,"Aug 21, 2020, 9:08:48 AM"
10633735,Accepted,"Aug 26, 2020, 1:19:29 PM"
57457618,Accepted,"Aug 26, 2020, 6:55:45 PM"
57082848,Accepted,"Aug 29, 2020, 5:28:21 PM"
67046340,Accepted,"Sep 4, 2020, 10:18:50 AM"
43130160,Accepted,"Sep 4, 2020, 10:42:08 PM"
45895680,Accepted,"Sep 5, 2020, 5:17:14 PM"
31953920,Accepted,"Oct 1, 2020, 6:59:40 AM"
34216104,Accepted,"Oct 1, 2020, 7:01:42 AM"
10467620,Accepted,"Oct 1, 2020, 7:02:54 AM"
57636939,Accepted,"Oct 10, 2020, 12:24:53 PM"
67848773,Accepted,"Oct 11, 2020, 6:30:00 AM"
17283511,Accepted,"Oct 12, 2020, 3:38:24 PM"
50759716,Pending,"Oct 21, 2020, 7:52:11 AM"
13325206,Accepted,"Oct 23, 2020, 2:33:07 PM"
68320422,Accepted,"Oct 23, 2020, 5:13:04 PM"
61834665,Accepted,"Oct 25, 2020, 9:26:57 AM"
31049413,Accepted,"Oct 25, 2020, 3:05:18 PM"
3229656,Accepted,"Oct 25, 2020, 4:36:53 PM"
49018501,Accepted,"Nov 4, 2020, 2:50:03 PM"
71307746,Accepted,"Nov 5, 2020, 12:56:11 PM"
18183658,Accepted,"Dec 9, 2020, 9:05:52 PM"
4411376,Pending,"Dec 9, 2020, 9:05:53 PM"
69856884,Accepted,"Dec 10, 2020, 6:00:29 AM"
31835629,Accepted,"Dec 10, 2020, 6:00:52 AM"
